THRESHOLD 1 CONFUSION MATRIX [[177, 79211], [0, 201736]] ACCURACY 0.7182346580156799 MCC 0.040011856806608244
THRESHOLD 0.1 CONFUSION MATRIX [[177, 10713], [0, 270234]] ACCURACY 0.961892261066291 MCC 0.1250346804905701
THRESHOLD 0.01 CONFUSION MATRIX [[177, 990], [0, 279957]] ACCURACY 0.9964784223332053 MCC 0.38876277293462724
THRESHOLD 0.001 CONFUSION MATRIX [[177, 90], [0, 280857]] ACCURACY 0.999679856575746 MCC 0.8140693979610962
THRESHOLD 0.0001 CONFUSION MATRIX [[177, 17], [0, 280930]] ACCURACY 0.9999395284643076 MCC 0.9551523055396415
THRESHOLD 1e-05 CONFUSION MATRIX [[177, 4], [0, 280943]] ACCURACY 0.9999857714033665 MCC 0.9888815043105998
THRESHOLD 1e-06 CONFUSION MATRIX [[177, 3], [0, 280944]] ACCURACY 0.9999893285525249 MCC 0.9916263576227832
THRESHOLD 1e-07 CONFUSION MATRIX [[177, 1], [0, 280946]] ACCURACY 0.9999964428508417 MCC 0.9971852802154066
THRESHOLD 1e-08 CONFUSION MATRIX [[177, 1], [0, 280946]] ACCURACY 0.9999964428508417 MCC 0.9971852802154066
THRESHOLD 1e-09 CONFUSION MATRIX [[177, 1], [0, 280946]] ACCURACY 0.9999964428508417 MCC 0.9971852802154066
THRESHOLD 1e-10 CONFUSION MATRIX [[177, 1], [0, 280946]] ACCURACY 0.9999964428508417 MCC 0.9971852802154066
THRESHOLD 1e-11 CONFUSION MATRIX [[176, 1], [1, 280946]] ACCURACY 0.9999928857016832 MCC 0.9943467230956704
THRESHOLD 1e-12 CONFUSION MATRIX [[176, 1], [1, 280946]] ACCURACY 0.9999928857016832 MCC 0.9943467230956704
THRESHOLD 1e-13 CONFUSION MATRIX [[174, 1], [3, 280946]] ACCURACY 0.9999857714033665 MCC 0.9886452234855595
THRESHOLD 1e-14 CONFUSION MATRIX [[173, 1], [4, 280946]] ACCURACY 0.9999822142542081 MCC 0.9857821399921793
THRESHOLD 1e-15 CONFUSION MATRIX [[171, 1], [6, 280946]] ACCURACY 0.9999750999558914 MCC 0.9800309454020539
THRESHOLD 1e-16 CONFUSION MATRIX [[171, 1], [6, 280946]] ACCURACY 0.9999750999558914 MCC 0.9800309454020539
THRESHOLD 1e-17 CONFUSION MATRIX [[167, 1], [10, 280946]] ACCURACY 0.9999608713592578 MCC 0.9684263609937124
THRESHOLD 1e-18 CONFUSION MATRIX [[161, 1], [16, 280946]] ACCURACY 0.9999395284643076 MCC 0.9507546162971368
THRESHOLD 1e-19 CONFUSION MATRIX [[157, 1], [20, 280946]] ACCURACY 0.9999252998676741 MCC 0.9387891209349043
THRESHOLD 1e-20 CONFUSION MATRIX [[143, 1], [34, 280946]] ACCURACY 0.9998754997794568 MCC 0.8956549702694825
